Model,makespan,throughput,avg_abs_start_dev,avg_duration_diff,levenshtein_seq,leven_a3_0_seq,toolchange_perc,seed,instance,priority_rule
TruthContinousSmallLogCopyModel_2000,19414.0,14.0,0.9,4.59,1300.0,1950,53.55,131,2000,fcfs
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,4.59,0.0,0,48.667,131,2000,fcfs
CausalContinousSmallLogCopyModel,-11.0,2.4,14.6,4.59,6.333,19,43.333,131,2000,fcfs
AverageOperationModel,-5.0,-2.3,11.2,4.59,5.0,15,43.333,131,2000,fcfs
LogNormalDistributionModel,18.0,1.5,16.9,4.59,8.333,25,42.0,131,2000,fcfs
NormalDistributionModel,27.0,-1.7,15.4,4.59,8.0,24,44.667,131,2000,fcfs
HistoDistributionModel,-48.0,16.2,24.5,4.59,8.333,25,42.0,131,2000,fcfs
TruthContinousSmallLogCopyModel_2000,19647.0,12.4,1.4,4.54,1300.0,1950,52.507,130,2000,fcfs
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,4.54,0.0,0,50.967,130,2000,fcfs
CausalContinousSmallLogCopyModel,-9.0,0.1,9.7,4.54,4.667,14,52.3,130,2000,fcfs
AverageOperationModel,6.0,-5.1,9.0,4.54,6.0,18,49.633,130,2000,fcfs
LogNormalDistributionModel,-21.0,-0.2,21.2,4.54,8.0,24,49.633,130,2000,fcfs
NormalDistributionModel,2.0,26.9,19.0,4.54,6.667,20,49.633,130,2000,fcfs
HistoDistributionModel,28.0,1.5,20.5,4.54,6.667,20,49.633,130,2000,fcfs
TruthContinousSmallLogCopyModel_2000,19814.0,13.5,1.7,4.99,1300.0,1950,52.403,132,2000,fcfs
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,4.99,0.0,0,43.173,132,2000,fcfs
CausalContinousSmallLogCopyModel,26.0,-1.4,11.1,4.99,3.667,11,43.173,132,2000,fcfs
AverageOperationModel,9.0,-2.8,8.2,4.99,4.0,12,39.84,132,2000,fcfs
LogNormalDistributionModel,44.0,0.8,17.6,4.99,8.0,24,39.84,132,2000,fcfs
NormalDistributionModel,38.0,1.9,28.3,4.99,7.667,23,40.507,132,2000,fcfs
HistoDistributionModel,19.0,7.5,17.9,4.99,4.667,14,39.84,132,2000,fcfs
TruthContinousSmallLogCopyModel_2000,19360.0,28.3,3.2,4.69,1300.0,1950,52.11,138,2000,fcfs
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,4.69,0.0,0,53.103,138,2000,fcfs
CausalContinousSmallLogCopyModel,-24.0,1.9,12.0,4.69,4.0,12,51.77,138,2000,fcfs
AverageOperationModel,-5.0,-2.2,14.8,4.69,4.0,12,51.77,138,2000,fcfs
LogNormalDistributionModel,-3.0,0.1,15.2,4.69,6.667,20,49.77,138,2000,fcfs
NormalDistributionModel,48.0,-0.6,25.9,4.69,4.333,13,49.77,138,2000,fcfs
HistoDistributionModel,9.0,0.0,26.3,4.69,5.667,17,53.103,138,2000,fcfs
TruthContinousSmallLogCopyModel_2000,19358.0,18.0,0.5,4.53,1300.0,1950,52.26,134,2000,fcfs
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,4.53,0.0,0,45.333,134,2000,fcfs
CausalContinousSmallLogCopyModel,-9.0,4.4,7.0,4.53,6.667,20,44.0,134,2000,fcfs
AverageOperationModel,-8.0,-3.6,11.6,4.53,7.667,23,44.667,134,2000,fcfs
LogNormalDistributionModel,-7.0,2.4,23.1,4.53,8.667,26,42.667,134,2000,fcfs
NormalDistributionModel,-19.0,-2.4,13.0,4.53,6.0,18,44.0,134,2000,fcfs
HistoDistributionModel,13.0,3.7,20.8,4.53,8.0,24,43.333,134,2000,fcfs
TruthContinousSmallLogCopyModel_2000,20075.0,4.5,0.1,4.83,1300.0,1950,52.57,123,2000,fcfs
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,4.83,0.0,0,48.0,123,2000,fcfs
CausalContinousSmallLogCopyModel,4.0,-1.3,4.6,4.83,3.667,11,46.0,123,2000,fcfs
AverageOperationModel,-5.0,-8.7,11.9,4.83,9.0,27,44.667,123,2000,fcfs
LogNormalDistributionModel,2.0,-5.5,15.6,4.83,7.0,21,45.333,123,2000,fcfs
NormalDistributionModel,-8.0,-1.9,11.0,4.83,4.0,12,46.667,123,2000,fcfs
HistoDistributionModel,29.0,-1.9,29.5,4.83,10.0,30,43.333,123,2000,fcfs
TruthContinousSmallLogCopyModel_2000,20153.0,3.7,0.3,4.78,1300.0,1950,51.117,124,2000,fcfs
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,4.78,0.0,0,48.97,124,2000,fcfs
CausalContinousSmallLogCopyModel,-18.0,-0.2,14.6,4.78,5.333,16,46.97,124,2000,fcfs
AverageOperationModel,-11.0,-5.3,12.2,4.78,3.667,11,46.303,124,2000,fcfs
LogNormalDistributionModel,-24.0,0.6,40.4,4.78,7.0,21,48.303,124,2000,fcfs
NormalDistributionModel,-29.0,21.4,31.0,4.78,7.333,22,47.637,124,2000,fcfs
HistoDistributionModel,-55.0,1.8,16.4,4.78,7.667,23,50.303,124,2000,fcfs
TruthContinousSmallLogCopyModel_2000,19363.0,5.1,0.0,4.68,1300.0,1950,54.063,137,2000,fcfs
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,4.68,0.0,0,42.39,137,2000,fcfs
CausalContinousSmallLogCopyModel,-10.0,-2.9,12.0,4.68,8.667,26,40.39,137,2000,fcfs
AverageOperationModel,-8.0,-6.0,15.8,4.68,9.0,27,39.723,137,2000,fcfs
LogNormalDistributionModel,13.0,30.8,26.8,4.68,9.667,29,41.057,137,2000,fcfs
NormalDistributionModel,10.0,-3.9,15.0,4.68,6.333,19,38.39,137,2000,fcfs
HistoDistributionModel,13.0,-3.2,23.2,4.68,6.333,19,40.39,137,2000,fcfs
TruthContinousSmallLogCopyModel_2000,19813.0,3.4,0.3,4.49,1300.0,1950,51.837,139,2000,fcfs
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,4.49,0.0,0,43.333,139,2000,fcfs
CausalContinousSmallLogCopyModel,-19.0,-5.1,9.4,4.49,6.333,19,43.333,139,2000,fcfs
AverageOperationModel,-8.0,-7.7,8.2,4.49,3.667,11,42.0,139,2000,fcfs
LogNormalDistributionModel,65.0,-0.8,34.2,4.49,10.333,31,39.333,139,2000,fcfs
NormalDistributionModel,8.0,-7.3,7.6,4.49,5.333,16,40.667,139,2000,fcfs
HistoDistributionModel,-26.0,-2.7,33.6,4.49,9.333,28,39.333,139,2000,fcfs
TruthContinousSmallLogCopyModel_2000,20040.0,32.7,0.4,4.58,1300.0,1950,51.877,133,2000,fcfs
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,4.58,0.0,0,50.327,133,2000,fcfs
CausalContinousSmallLogCopyModel,-4.0,5.0,9.1,4.58,4.667,14,50.327,133,2000,fcfs
AverageOperationModel,-10.0,-4.4,6.6,4.58,4.333,13,46.327,133,2000,fcfs
LogNormalDistributionModel,16.0,1.0,29.2,4.58,7.667,23,46.327,133,2000,fcfs
NormalDistributionModel,-32.0,-0.1,16.4,4.58,6.333,19,48.993,133,2000,fcfs
HistoDistributionModel,40.0,-0.8,13.9,4.58,7.667,23,44.993,133,2000,fcfs
TruthContinousSmallLogCopyModel_2000,20014.0,12.4,0.4,4.18,1300.0,1950,50.473,125,2000,fcfs
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,4.18,0.0,0,50.87,125,2000,fcfs
CausalContinousSmallLogCopyModel,-13.0,8.9,7.8,4.18,4.0,12,49.537,125,2000,fcfs
AverageOperationModel,0.0,-3.7,8.0,4.18,6.333,19,49.537,125,2000,fcfs
LogNormalDistributionModel,0.0,8.0,11.2,4.18,8.0,24,52.203,125,2000,fcfs
NormalDistributionModel,2.0,-0.4,14.8,4.18,9.0,27,49.537,125,2000,fcfs
HistoDistributionModel,36.0,2.3,24.6,4.18,9.667,29,48.203,125,2000,fcfs
TruthContinousSmallLogCopyModel_2000,20169.0,8.8,1.3,4.41,1300.0,1950,52.817,136,2000,fcfs
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,4.41,0.0,0,59.613,136,2000,fcfs
CausalContinousSmallLogCopyModel,-57.0,0.3,20.9,4.41,8.667,26,60.947,136,2000,fcfs
AverageOperationModel,3.0,-4.1,6.8,4.41,4.333,13,56.947,136,2000,fcfs
LogNormalDistributionModel,-46.0,15.1,18.4,4.41,7.333,22,56.947,136,2000,fcfs
NormalDistributionModel,-43.0,0.0,14.6,4.41,7.0,21,54.28,136,2000,fcfs
HistoDistributionModel,32.0,-3.1,22.9,4.41,9.0,27,55.613,136,2000,fcfs
TruthContinousSmallLogCopyModel_2000,20028.0,-1.4,1.5,4.69,1300.0,1950,53.353,135,2000,fcfs
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,4.69,0.0,0,57.41,135,2000,fcfs
CausalContinousSmallLogCopyModel,18.0,-5.6,5.0,4.69,1.667,5,58.743,135,2000,fcfs
AverageOperationModel,4.0,-14.0,9.7,4.69,3.333,10,58.743,135,2000,fcfs
LogNormalDistributionModel,67.0,-9.8,17.7,4.69,6.0,18,54.743,135,2000,fcfs
NormalDistributionModel,20.0,32.3,23.2,4.69,8.333,25,57.41,135,2000,fcfs
HistoDistributionModel,56.0,-13.4,31.9,4.69,9.0,27,56.077,135,2000,fcfs
TruthContinousSmallLogCopyModel_2000,20100.0,-6.9,0.7,4.59,1300.0,1950,51.827,140,2000,fcfs
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,4.59,0.0,0,51.243,140,2000,fcfs
CausalContinousSmallLogCopyModel,-17.0,-14.2,9.8,4.59,7.667,23,51.243,140,2000,fcfs
AverageOperationModel,5.0,-13.4,16.1,4.59,6.333,19,52.577,140,2000,fcfs
LogNormalDistributionModel,4.0,-10.9,15.6,4.59,6.0,18,47.243,140,2000,fcfs
NormalDistributionModel,48.0,18.9,32.9,4.59,8.0,24,55.243,140,2000,fcfs
HistoDistributionModel,21.0,11.4,17.5,4.59,7.0,21,53.91,140,2000,fcfs
TruthContinousSmallLogCopyModel_2000,19566.0,10.1,0.4,4.94,1300.0,1950,52.817,142,2000,fcfs
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,4.94,0.0,0,42.667,142,2000,fcfs
CausalContinousSmallLogCopyModel,-12.0,-2.4,7.0,4.94,5.333,16,42.667,142,2000,fcfs
AverageOperationModel,2.0,-2.6,12.6,4.94,7.667,23,40.0,142,2000,fcfs
LogNormalDistributionModel,105.0,0.7,66.4,4.94,12.333,37,36.667,142,2000,fcfs
NormalDistributionModel,3.0,-2.4,11.6,4.94,6.0,18,41.333,142,2000,fcfs
HistoDistributionModel,-12.0,-3.9,20.6,4.94,9.0,27,41.333,142,2000,fcfs
TruthContinousSmallLogCopyModel_2000,19410.0,2.6,0.6,4.28,1300.0,1950,52.91,144,2000,fcfs
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,4.28,0.0,0,47.6,144,2000,fcfs
CausalContinousSmallLogCopyModel,-15.0,2.5,5.9,4.28,4.667,14,47.6,144,2000,fcfs
AverageOperationModel,-13.0,-6.9,7.8,4.28,5.333,16,44.933,144,2000,fcfs
LogNormalDistributionModel,-25.0,32.5,22.1,4.28,6.333,19,43.6,144,2000,fcfs
NormalDistributionModel,-16.0,2.8,9.4,4.28,5.333,16,44.933,144,2000,fcfs
HistoDistributionModel,-4.0,9.6,12.1,4.28,7.667,23,47.6,144,2000,fcfs
TruthContinousSmallLogCopyModel_2000,19649.0,22.7,0.1,4.45,1300.0,1950,52.313,141,2000,fcfs
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,4.45,0.0,0,48.0,141,2000,fcfs
CausalContinousSmallLogCopyModel,-15.0,1.8,11.3,4.45,4.333,13,48.667,141,2000,fcfs
AverageOperationModel,-9.0,-3.0,10.6,4.45,7.333,22,46.0,141,2000,fcfs
LogNormalDistributionModel,5.0,18.9,15.3,4.45,4.0,12,44.667,141,2000,fcfs
NormalDistributionModel,2.0,7.4,15.8,4.45,8.0,24,48.667,141,2000,fcfs
HistoDistributionModel,71.0,1.3,39.0,4.45,7.0,21,47.333,141,2000,fcfs
TruthContinousSmallLogCopyModel_2000,19378.0,13.9,0.0,4.79,1300.0,1950,53.567,150,2000,fcfs
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,4.79,0.0,0,54.727,150,2000,fcfs
CausalContinousSmallLogCopyModel,24.0,15.0,12.8,4.79,7.0,21,53.393,150,2000,fcfs
AverageOperationModel,-20.0,-5.2,10.6,4.79,5.0,15,53.393,150,2000,fcfs
LogNormalDistributionModel,9.0,-6.1,14.1,4.79,9.667,29,54.727,150,2000,fcfs
NormalDistributionModel,20.0,19.7,18.5,4.79,10.667,32,57.393,150,2000,fcfs
HistoDistributionModel,29.0,-3.4,18.4,4.79,8.333,25,53.393,150,2000,fcfs
TruthContinousSmallLogCopyModel_2000,19732.0,-4.9,1.0,4.6,1300.0,1950,53.317,145,2000,fcfs
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,4.6,0.0,0,42.82,145,2000,fcfs
CausalContinousSmallLogCopyModel,-9.0,2.2,10.8,4.6,5.667,17,44.153,145,2000,fcfs
AverageOperationModel,1.0,-3.1,8.0,4.6,3.0,9,41.487,145,2000,fcfs
LogNormalDistributionModel,10.0,9.6,13.8,4.6,6.333,19,41.487,145,2000,fcfs
NormalDistributionModel,37.0,30.1,20.6,4.6,8.333,25,42.82,145,2000,fcfs
HistoDistributionModel,16.0,12.7,17.9,4.6,9.667,29,44.153,145,2000,fcfs
TruthContinousSmallLogCopyModel_2000,19318.0,23.2,0.1,4.37,1300.0,1950,54.257,149,2000,fcfs
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,4.37,0.0,0,49.333,149,2000,fcfs
CausalContinousSmallLogCopyModel,3.0,-1.2,5.9,4.37,6.333,19,51.333,149,2000,fcfs
AverageOperationModel,-4.0,-4.0,17.5,4.37,9.667,29,50.667,149,2000,fcfs
LogNormalDistributionModel,23.0,-0.9,31.8,4.37,10.333,31,49.333,149,2000,fcfs
NormalDistributionModel,-8.0,1.7,13.2,4.37,9.0,27,45.333,149,2000,fcfs
HistoDistributionModel,27.0,-0.8,22.1,4.37,6.333,19,48.667,149,2000,fcfs
TruthContinousSmallLogCopyModel_2000,19772.0,21.3,0.7,4.97,1300.0,1950,52.49,148,2000,fcfs
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,4.97,0.0,0,56.363,148,2000,fcfs
CausalContinousSmallLogCopyModel,19.0,-0.1,15.2,4.97,8.667,26,53.697,148,2000,fcfs
AverageOperationModel,-8.0,-4.8,8.8,4.97,4.333,13,52.363,148,2000,fcfs
LogNormalDistributionModel,-10.0,-0.9,17.4,4.97,8.333,25,49.697,148,2000,fcfs
NormalDistributionModel,60.0,0.3,31.6,4.97,9.333,28,55.03,148,2000,fcfs
HistoDistributionModel,-40.0,-5.7,13.4,4.97,8.667,26,52.363,148,2000,fcfs
TruthContinousSmallLogCopyModel_2000,19744.0,-4.8,0.8,4.72,1300.0,1950,52.453,146,2000,fcfs
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,4.72,0.0,0,59.087,146,2000,fcfs
CausalContinousSmallLogCopyModel,8.0,-5.7,6.0,4.72,4.667,14,59.087,146,2000,fcfs
AverageOperationModel,-5.0,-9.6,12.5,4.72,8.667,26,56.42,146,2000,fcfs
LogNormalDistributionModel,50.0,-15.5,19.2,4.72,6.0,18,59.087,146,2000,fcfs
NormalDistributionModel,-12.0,8.4,33.9,4.72,9.667,29,56.42,146,2000,fcfs
HistoDistributionModel,11.0,-0.2,17.8,4.72,9.0,27,55.087,146,2000,fcfs
TruthContinousSmallLogCopyModel_2000,19912.0,13.4,0.3,4.84,1300.0,1950,52.09,143,2000,fcfs
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,4.84,0.0,0,47.74,143,2000,fcfs
CausalContinousSmallLogCopyModel,-4.0,1.2,7.0,4.84,4.333,13,47.74,143,2000,fcfs
AverageOperationModel,9.0,-3.0,9.2,4.84,7.0,21,43.74,143,2000,fcfs
LogNormalDistributionModel,-11.0,-1.0,35.6,4.84,11.0,33,45.073,143,2000,fcfs
NormalDistributionModel,-1.0,2.2,19.2,4.84,8.667,26,46.407,143,2000,fcfs
HistoDistributionModel,44.0,-1.2,24.1,4.84,6.0,18,46.407,143,2000,fcfs
TruthContinousSmallLogCopyModel_2000,20328.0,6.7,0.0,4.2,1300.0,1950,52.857,147,2000,fcfs
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,4.2,0.0,0,54.0,147,2000,fcfs
CausalContinousSmallLogCopyModel,-13.0,-4.2,10.4,4.2,3.667,11,54.0,147,2000,fcfs
AverageOperationModel,4.0,-7.2,6.6,4.2,3.333,10,51.333,147,2000,fcfs
LogNormalDistributionModel,-8.0,-3.6,18.3,4.2,10.0,30,52.0,147,2000,fcfs
NormalDistributionModel,7.0,5.5,11.7,4.2,8.333,25,52.667,147,2000,fcfs
HistoDistributionModel,8.0,0.5,20.7,4.2,9.333,28,48.667,147,2000,fcfs
TruthContinousSmallLogCopyModel_2000,20018.0,12.7,0.2,4.59,1300.0,1950,51.86,151,2000,fcfs
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,4.59,0.0,0,50.097,151,2000,fcfs
CausalContinousSmallLogCopyModel,-31.0,0.3,9.9,4.59,8.333,25,49.43,151,2000,fcfs
AverageOperationModel,-11.0,-1.5,8.0,4.59,5.0,15,47.43,151,2000,fcfs
LogNormalDistributionModel,34.0,2.0,27.2,4.59,8.667,26,44.097,151,2000,fcfs
NormalDistributionModel,17.0,14.9,26.7,4.59,8.0,24,46.763,151,2000,fcfs
HistoDistributionModel,-31.0,0.7,19.9,4.59,9.667,29,46.763,151,2000,fcfs
