Model,makespan,avg_makespan_diff,avg abs start dev,avg duration dev,levenshtein_seq,ndcg_seq,leven_a3_0_seq,ndcg_seq_a3,toolchange_perc,seed,instance,priority_rule
HistoDistributionModel,125.0,-0.03,90.9,-0.1,298.333,0.9999928301,895,0.9999784902,50.29,360,1500,dynamic
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,51.687,361,1500,dynamic
CausalContinousSmallLogCopyModel,26.0,-0.01,26.8,0.0,206.333,0.9999806308,619,0.9999418924,51.42,361,1500,dynamic
AverageOperationModel,-66.0,-0.07,64.1,-0.1,285.667,0.9999605695,857,0.9998817084,49.243,361,1500,dynamic
LogNormalDistributionModel,-182.0,0.04,117.6,0.1,308.0,0.9999841318,924,0.9999523955,49.333,361,1500,dynamic
HistoDistributionModel,-67.0,0.12,92.8,0.3,306.0,0.9999467896,918,0.9998403688,49.377,361,1500,dynamic
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,52.307,362,1500,dynamic
CausalContinousSmallLogCopyModel,12.0,0.06,55.5,0.1,267.0,0.999982432,801,0.999947296,51.527,362,1500,dynamic
AverageOperationModel,33.0,0.06,90.2,0.1,280.0,0.9999743911,840,0.9999231732,50.15,362,1500,dynamic
LogNormalDistributionModel,94.0,0.12,122.9,0.3,307.667,0.9999758487,923,0.9999275462,50.24,362,1500,dynamic
HistoDistributionModel,-195.0,0.14,125.2,0.3,311.333,0.9999535121,934,0.9998605364,50.993,362,1500,dynamic
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,52.32,363,1500,dynamic
CausalContinousSmallLogCopyModel,7.0,-0.02,40.0,-0.1,298.333,0.9999968958,895,0.9999906873,52.41,363,1500,dynamic
AverageOperationModel,46.0,0.09,73.9,0.2,266.667,0.9999935463,800,0.9999806389,49.92,363,1500,dynamic
LogNormalDistributionModel,-89.0,0.14,126.7,0.3,313.0,0.9999691441,939,0.9999074323,50.853,363,1500,dynamic
HistoDistributionModel,-132.0,-0.03,78.4,-0.1,305.333,0.9999714227,916,0.9999142682,49.677,363,1500,dynamic
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,52.447,364,1500,dynamic
CausalContinousSmallLogCopyModel,102.0,0.02,55.3,0.1,195.667,0.9999975178,587,0.9999925533,52.137,364,1500,dynamic
AverageOperationModel,183.0,0.1,128.8,0.2,261.0,0.9999735484,783,0.9999206451,50.537,364,1500,dynamic
LogNormalDistributionModel,14.0,0.12,87.3,0.3,303.667,0.9999648972,911,0.9998946917,50.137,364,1500,dynamic
HistoDistributionModel,90.0,0.01,126.5,0.1,298.333,0.9999648533,895,0.9998945598,51.113,364,1500,dynamic
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,53.11,365,1500,dynamic
CausalContinousSmallLogCopyModel,-116.0,-0.02,62.1,-0.1,233.0,0.9999990847,699,0.999997254,53.91,365,1500,dynamic
AverageOperationModel,-103.0,0.04,72.6,0.1,280.0,0.9999744131,840,0.9999232394,50.687,365,1500,dynamic
LogNormalDistributionModel,-163.0,0.0,104.5,0.0,305.0,0.9999597377,915,0.999879213,50.597,365,1500,dynamic
HistoDistributionModel,-77.0,-0.03,114.6,-0.1,310.333,0.9999536767,931,0.9998610301,50.197,365,1500,dynamic
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,52.82,366,1500,dynamic
CausalContinousSmallLogCopyModel,-82.0,0.04,63.6,0.0,283.667,0.9999818478,851,0.9999455434,52.753,366,1500,dynamic
AverageOperationModel,-82.0,0.02,95.1,0.0,273.0,0.9999685566,819,0.9999056698,49.597,366,1500,dynamic
LogNormalDistributionModel,7.0,0.1,109.3,0.1,292.667,0.9999776614,878,0.9999329842,49.843,366,1500,dynamic
HistoDistributionModel,117.0,-0.01,63.8,-0.1,277.667,0.9999936147,833,0.9999808442,50.42,366,1500,dynamic
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,54.14,367,1500,dynamic
CausalContinousSmallLogCopyModel,84.0,0.01,65.2,0.0,284.0,0.9999956602,852,0.9999869806,54.097,367,1500,dynamic
AverageOperationModel,-96.0,0.12,56.1,0.2,236.667,0.9999950671,710,0.9999852013,51.25,367,1500,dynamic
LogNormalDistributionModel,-42.0,0.09,61.0,0.1,302.0,0.9999732938,906,0.9999198813,52.05,367,1500,dynamic
HistoDistributionModel,160.0,0.21,155.5,0.4,286.667,0.9999910678,860,0.9999732034,52.097,367,1500,dynamic
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,52.017,368,1500,dynamic
CausalContinousSmallLogCopyModel,-48.0,0.02,70.9,0.0,299.333,0.9999950137,898,0.999985041,51.883,368,1500,dynamic
AverageOperationModel,-6.0,-0.05,54.5,-0.1,284.667,0.9999825719,854,0.9999477158,48.797,368,1500,dynamic
LogNormalDistributionModel,6.0,-0.02,57.2,0.0,307.333,0.9999748257,922,0.9999244771,48.707,368,1500,dynamic
HistoDistributionModel,119.0,-0.07,78.5,-0.2,305.0,0.9999186881,915,0.9997560644,49.53,368,1500,dynamic
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,50.427,369,1500,dynamic
CausalContinousSmallLogCopyModel,-62.0,-0.03,36.7,-0.1,228.0,0.9999990858,684,0.9999972574,50.513,369,1500,dynamic
AverageOperationModel,150.0,-0.06,85.4,-0.2,265.0,0.9999736931,795,0.9999210794,47.893,369,1500,dynamic
LogNormalDistributionModel,58.0,0.04,96.5,0.0,303.333,0.9999885338,910,0.9999656015,47.693,369,1500,dynamic
HistoDistributionModel,-86.0,0.02,122.2,0.0,307.333,0.9999787851,922,0.9999363554,47.803,369,1500,dynamic
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,51.577,370,1500,dynamic
CausalContinousSmallLogCopyModel,139.0,0.03,70.2,0.1,239.667,0.9999976117,719,0.9999928351,50.91,370,1500,dynamic
AverageOperationModel,60.0,-0.1,98.5,-0.2,293.0,0.9999728915,879,0.9999186745,49.267,370,1500,dynamic
LogNormalDistributionModel,128.0,0.07,77.4,0.1,287.0,0.999979688,861,0.9999390641,49.31,370,1500,dynamic
HistoDistributionModel,45.0,0.14,89.0,0.3,298.0,0.9999872396,894,0.9999617188,49.353,370,1500,dynamic
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,51.113,371,1500,dynamic
CausalContinousSmallLogCopyModel,-59.0,0.01,51.9,0.0,288.0,0.9999988983,864,0.9999966949,51.47,371,1500,dynamic
AverageOperationModel,-32.0,0.14,75.1,0.3,249.333,0.9999941525,748,0.9999824574,48.627,371,1500,dynamic
LogNormalDistributionModel,-94.0,0.16,142.8,0.4,318.333,0.999938296,955,0.9998148881,49.337,371,1500,dynamic
HistoDistributionModel,8.0,0.01,63.9,0.1,295.333,0.9999850039,886,0.9999550118,49.203,371,1500,dynamic
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,51.84,372,1500,dynamic
CausalContinousSmallLogCopyModel,-101.0,-0.07,82.2,-0.2,299.667,0.9999948248,899,0.9999844744,52.33,372,1500,dynamic
AverageOperationModel,105.0,0.05,60.9,0.1,275.0,0.9999779122,825,0.9999337366,49.93,372,1500,dynamic
LogNormalDistributionModel,176.0,-0.03,91.6,-0.1,293.333,0.9999960356,880,0.9999881068,49.753,372,1500,dynamic
HistoDistributionModel,-54.0,-0.08,91.5,-0.2,303.0,0.999961342,909,0.999884026,49.797,372,1500,dynamic
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,52.203,373,1500,dynamic
CausalContinousSmallLogCopyModel,-18.0,-0.09,59.2,-0.2,289.333,0.9999735674,868,0.9999207022,52.247,373,1500,dynamic
AverageOperationModel,275.0,0.17,168.4,0.3,262.333,0.9999784788,787,0.9999354364,50.337,373,1500,dynamic
LogNormalDistributionModel,107.0,-0.07,82.6,-0.2,293.333,0.9999765199,880,0.9999295598,49.803,373,1500,dynamic
HistoDistributionModel,137.0,-0.07,99.1,-0.2,300.333,0.9999600108,901,0.9998800325,49.757,373,1500,dynamic
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,53.547,374,1500,dynamic
CausalContinousSmallLogCopyModel,-28.0,0.01,25.5,0.0,234.333,0.9999974811,703,0.9999924433,53.547,374,1500,dynamic
AverageOperationModel,69.0,0.18,132.0,0.3,267.333,0.9999953448,802,0.9999860343,51.413,374,1500,dynamic
LogNormalDistributionModel,-41.0,-0.04,74.5,-0.1,274.0,0.9999836958,822,0.9999510874,51.28,374,1500,dynamic
HistoDistributionModel,-57.0,-0.09,61.1,-0.2,292.0,0.9999727273,876,0.999918182,51.103,374,1500,dynamic
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,53.16,375,1500,dynamic
CausalContinousSmallLogCopyModel,-31.0,0.05,59.7,0.1,291.667,0.9999968038,875,0.9999904115,52.98,375,1500,dynamic
AverageOperationModel,118.0,0.05,89.3,0.1,285.667,0.9999913868,857,0.9999741604,51.113,375,1500,dynamic
LogNormalDistributionModel,22.0,0.01,78.8,0.0,304.0,0.9999580365,912,0.9998741094,51.003,375,1500,dynamic
HistoDistributionModel,111.0,0.01,70.8,0.0,278.0,0.9999959369,834,0.9999878106,51.203,375,1500,dynamic
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,52.807,376,1500,dynamic
CausalContinousSmallLogCopyModel,25.0,-0.03,27.6,-0.1,246.0,0.9999828476,738,0.9999485428,52.897,376,1500,dynamic
AverageOperationModel,-102.0,0.0,58.2,0.0,266.333,0.9999757565,799,0.9999272694,50.54,376,1500,dynamic
LogNormalDistributionModel,-39.0,0.09,64.3,0.2,302.333,0.9999696383,907,0.9999089148,51.117,376,1500,dynamic
HistoDistributionModel,-65.0,0.06,68.6,0.1,303.0,0.9999702113,909,0.9999106339,49.783,376,1500,dynamic
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,52.12,377,1500,dynamic
CausalContinousSmallLogCopyModel,167.0,0.1,101.0,0.2,274.667,0.9999943372,824,0.9999830117,51.23,377,1500,dynamic
AverageOperationModel,56.0,-0.07,58.2,-0.1,258.667,0.9999809836,776,0.9999429507,49.587,377,1500,dynamic
LogNormalDistributionModel,124.0,0.11,83.2,0.2,284.667,0.9999795138,854,0.9999385415,48.83,377,1500,dynamic
HistoDistributionModel,-19.0,0.01,54.2,0.0,268.0,0.9999793772,804,0.9999381316,49.32,377,1500,dynamic
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,52.817,378,1500,dynamic
CausalContinousSmallLogCopyModel,-64.0,-0.05,43.6,-0.1,256.333,0.9999787498,769,0.9999362495,53.24,378,1500,dynamic
AverageOperationModel,-44.0,-0.0,58.8,0.0,284.0,0.9999917953,852,0.9999753859,49.463,378,1500,dynamic
LogNormalDistributionModel,32.0,0.05,124.1,0.1,317.0,0.9999651342,951,0.9998954026,50.507,378,1500,dynamic
HistoDistributionModel,4.0,-0.06,71.6,-0.1,302.0,0.9999902616,906,0.9999707849,49.883,378,1500,dynamic
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,51.783,379,1500,dynamic
CausalContinousSmallLogCopyModel,-134.0,0.04,68.8,0.1,273.0,0.9999825445,819,0.9999476336,52.403,379,1500,dynamic
AverageOperationModel,32.0,0.12,96.8,0.2,253.0,0.9999746368,759,0.9999239103,49.737,379,1500,dynamic
LogNormalDistributionModel,-46.0,-0.04,60.2,-0.1,296.333,0.9999703704,889,0.9999111113,49.783,379,1500,dynamic
HistoDistributionModel,2.0,0.0,91.1,0.0,301.667,0.9999696646,905,0.9999089938,49.693,379,1500,dynamic
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,50.863,380,1500,dynamic
CausalContinousSmallLogCopyModel,-114.0,0.02,59.0,0.1,218.0,0.9999975234,654,0.9999925701,50.597,380,1500,dynamic
AverageOperationModel,104.0,0.02,111.9,0.1,291.0,0.999982351,873,0.9999470529,49.13,380,1500,dynamic
LogNormalDistributionModel,41.0,0.02,196.6,0.1,310.333,0.9999719393,931,0.999915818,48.597,380,1500,dynamic
HistoDistributionModel,37.0,-0.08,126.1,-0.1,307.0,0.9999679654,921,0.9999038963,48.91,380,1500,dynamic
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,50.963,381,1500,dynamic
CausalContinousSmallLogCopyModel,-66.0,-0.03,39.2,-0.1,237.667,0.9999807187,713,0.9999421562,51.473,381,1500,dynamic
AverageOperationModel,64.0,-0.03,81.8,-0.1,277.0,0.9999935741,831,0.9999807222,49.94,381,1500,dynamic
LogNormalDistributionModel,26.0,-0.03,85.3,-0.1,298.0,0.9999715101,894,0.9999145304,49.473,381,1500,dynamic
HistoDistributionModel,-83.0,0.07,137.4,0.1,302.667,0.9999770732,908,0.9999312197,48.83,381,1500,dynamic
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,53.73,382,1500,dynamic
CausalContinousSmallLogCopyModel,8.0,0.01,34.7,0.1,259.667,0.9999987425,779,0.9999962275,53.153,382,1500,dynamic
AverageOperationModel,-294.0,-0.17,190.7,-0.3,282.667,0.999970061,848,0.9999101831,50.487,382,1500,dynamic
LogNormalDistributionModel,-15.0,0.04,74.2,0.1,309.333,0.9999145069,928,0.9997435208,49.377,382,1500,dynamic
HistoDistributionModel,138.0,0.06,123.0,0.2,308.0,0.999947329,924,0.999841987,49.863,382,1500,dynamic
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,53.907,383,1500,dynamic
CausalContinousSmallLogCopyModel,126.0,0.04,64.6,0.1,244.333,0.9999817295,733,0.9999451884,53.107,383,1500,dynamic
AverageOperationModel,14.0,0.1,69.4,0.2,280.0,0.9999695337,840,0.9999086012,51.373,383,1500,dynamic
LogNormalDistributionModel,37.0,0.03,69.0,0.1,300.333,0.9999754584,901,0.9999263751,50.973,383,1500,dynamic
HistoDistributionModel,-192.0,0.06,117.9,0.1,313.667,0.9999888306,941,0.9999664918,51.33,383,1500,dynamic
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,51.537,384,1500,dynamic
CausalContinousSmallLogCopyModel,-136.0,-0.06,82.1,-0.1,289.333,0.9999811515,868,0.9999434545,52.47,384,1500,dynamic
AverageOperationModel,189.0,0.17,132.4,0.3,278.333,0.9999756197,835,0.999926859,50.203,384,1500,dynamic
LogNormalDistributionModel,-7.0,0.08,75.3,0.1,291.333,0.9999302255,874,0.9997906765,49.847,384,1500,dynamic
HistoDistributionModel,-42.0,0.03,63.7,0.0,289.333,0.999990417,868,0.9999712511,49.227,384,1500,dynamic
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,52.323,385,1500,dynamic
CausalContinousSmallLogCopyModel,-13.0,0.02,30.4,0.1,208.667,0.9999806211,626,0.9999418634,52.457,385,1500,dynamic
AverageOperationModel,45.0,-0.01,53.4,0.0,273.667,0.9999704813,821,0.9999114439,49.033,385,1500,dynamic
LogNormalDistributionModel,-27.0,-0.15,122.1,-0.3,305.333,0.9999647049,916,0.9998941146,48.767,385,1500,dynamic
HistoDistributionModel,88.0,-0.07,61.9,-0.1,280.333,0.999989119,841,0.999967357,49.747,385,1500,dynamic
